Program ID,University,degree,Funding Opportunities,link
8369,Rosenheim Technical University of Applied Sciences,Energy and Building Technology,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8369/
9074,Rosenheim Technical University of Applied Sciences,Engineering and Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9074/
9609,Magdeburg-Stendal University of Applied Sciences,Entrepreneurship & Innovation Management (MEsIM),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9609/
3996,Dortmund University of Applied Sciences and Arts,European Master's in Project Management (EuroMPM),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3996/
7710,Hochschule Fresenius - University of Applied Sciences,Fashion & Design Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7710/
5617,Hochschule Fresenius - University of Applied Sciences,Fashion Design,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5617/
9167,OWL University of Applied Sciences and Arts,General Engineering,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9167/
8282,Rosenheim Technical University of Applied Sciences,Hydrogen Technology,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8282/
7127,Hochschule Fresenius - University of Applied Sciences,Industrial Engineering and International Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7127/
7785,Hochschule Fresenius - University of Applied Sciences,Industrial Engineering and International Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7785/
4221,Rhine-Waal University of Applied Sciences,"Information and Communication Design, BA",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4221/
7892,Rosenheim Technical University of Applied Sciences,International Bachelor of Engineering (IBE),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7892/
8974,Rosenheim Technical University of Applied Sciences,International Bachelor of Wood Technology,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8974/
6562,htw saar - University of Applied Sciences,International Business,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6562/
3910,FH Münster University of Applied Sciences,European Business Programme (EBP),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3910/
3911,FH Münster University of Applied Sciences,German-Latin American Studies of Business Administration (CALA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3911/
4210,Rhine-Waal University of Applied Sciences,"International Business and Management, BA",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4210/
5692,Hochschule Fresenius - University of Applied Sciences,International Business Management (BA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5692/
8990,Hochschule Fresenius - University of Applied Sciences,International Business Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8990/
9120,Hochschule Fresenius - University of Applied Sciences,International Business Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9120/
9958,Hochschule Fresenius - University of Applied Sciences,International Business Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9958/
5205,Neu-Ulm University of Applied Sciences,International Corporate Communication and Media Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5205/
9572,Neu-Ulm University of Applied Sciences,"International Entrepreneurship, Digitalisation and Sustainability",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9572/
5690,Hochschule Fresenius - University of Applied Sciences,International Health Economics & Pharmacoeconomics MSc,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5690/
3852,htw saar - University of Applied Sciences,International Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3852/
8320,Hochschule Fresenius - University of Applied Sciences,International Management (MA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8320/
8321,Hochschule Fresenius - University of Applied Sciences,International Management (MA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8321/
8497,Rosenheim Technical University of Applied Sciences,"International Management, MA",No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8497/
9972,Weihenstephan-Triesdorf University of Applied Sciences,International Master's in Environmental Engineering,Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9972/
3896,Weihenstephan-Triesdorf University of Applied Sciences,International Master's in Landscape Architecture (IMLA),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3896/
4217,Rhine-Waal University of Applied Sciences,"International Taxation and Law, BA",Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4217/
7777,bbw Hochschule - University of Applied Sciences,International Technology Transfer Management (ITTM),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7777/
4038,FH Westküste University of Applied Sciences,International Tourism Management (ITM),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4038/
6229,Technical University of Applied Sciences Wildau,Logistics and Supply Chain Management (LSCM),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6229/
8993,Hochschule Fresenius - University of Applied Sciences,Luxury Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8993/
8991,Hochschule Fresenius - University of Applied Sciences,Marketing & Brand Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8991/
9122,Hochschule Fresenius - University of Applied Sciences,Marketing & Brand Management (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9122/
3705,HTW Berlin University of Applied Sciences,Master in International Business (MIB),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3705/
5247,FH Münster University of Applied Sciences,International Marketing and Sales,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5247/
9658,Hochschule Fresenius - University of Applied Sciences,Master of Business Administration (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9658/
9659,Hochschule Fresenius - University of Applied Sciences,Master of Business Administration (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9659/
9660,Hochschule Fresenius - University of Applied Sciences,Master of Business Administration (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9660/
9661,Hochschule Fresenius - University of Applied Sciences,Master of Business Administration (MBA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9661/
3800,HTW Berlin University of Applied Sciences,Master of Business Administration and Engineering (MBA&E),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3800/
3797,HTW Berlin University of Applied Sciences,International and Development Economics (MA),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3797/
6098,Technical University of Applied Sciences Augsburg,Master of International Business and Finance,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6098/
4087,OWL University of Applied Sciences and Arts,Master's in Architecture (March),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4087/
3969,FH Münster University of Applied Sciences,Master's in Chemical Engineering (MSc),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3969/
3814,HTW Berlin University of Applied Sciences,Master's in Construction and Real Estate Management,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3814/
5347,OWL University of Applied Sciences and Arts,Master's in Integrated Design (MID),Yes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5347/
9080,University of Applied Sciences Ravensburg-Weingarten,MBA International Business Management & Sustainability,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9080/
9664,htw saar - University of Applied Sciences,Mechanical Engineering (MEB),No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9664/
8370,Rosenheim Technical University of Applied Sciences,Mechanical Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8370/
7827,University of Applied Sciences Ravensburg-Weingarten,Mechanical Engineering / International Project Engineering,No,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7827/
